date,nav
20140922,530.98
20140923,532.58
20140924,535.5
20140925,535.72
20140926,535.72
20140929,537.36
20140930,538.61
20141008,539.94
20141009,540.54
20141010,539.39
20141013,539.28
20141014,539.3
20141015,540.74
20141016,540.36
20141017,540.13
20141020,542.43
20141021,542.43
20141022,542.43
20141023,541.9
20141024,542.05
20141027,541.87
20141028,545.24
20141029,548.08
20141030,549.35
20141031,551.09
20141103,552.5
20141104,553.69
20141105,554.05
20141106,555.5
20141107,556.48
20141110,560.65
20141111,558.48
20141112,560.39
20141113,559.25
20141114,557.54
20141117,556.8
20141118,555.21
20141119,555.61
20141120,556.06
20141121,558.64
20141124,563.53
20141125,565.16
20141126,567.19
20141127,568.73
20141128,570.54
20141201,569.28
20141202,575.2
20141203,576.08
20141204,583.33
20141205,582.35
20141208,588.09
20141209,572.78
20141210,578.94
20141211,577.24
20141212,578.1
20141215,579.59
20141216,584.93
20141217,586.37
20141218,587.02
20141219,588.7
20141222,588.32
20141223,584.12
20141224,582.56
20141225,588.09
20141226,594.18
20141229,596.01
20141230,595.13
20141231,600.06
20150105,608.42
20150106,610.33
20150107,613.8
20150108,609.65
20150109,609.68
20150112,605.84
20150113,608.43
20150114,608.74
20150115,613.72
20150116,616.88
20150119,603.55
20150120,609.05
20150121,617.78
20150122,620.51
20150123,619.94
20150126,620.91
20150127,619.11
20150128,615.42
20150129,612.83
20150130,610.03
20150202,605.61
20150203,609.59
20150204,608.98
20150205,608.22
20150206,604.32
20150209,604.73
20150210,607.96
20150211,609.96
20150212,611.12
20150213,614.42
20150216,617.89
20150217,619.03
20150225,616.92
20150226,619.54
20150227,620.44
20150302,623.23
20150303,621.09
20150304,622.58
20150305,622.07
20150306,619.58
20150309,622.26
20150310,623.59
20150311,623.46
20150312,624.15
20150313,625.67
20150316,631.67
20150317,634.32
20150318,637.32
20150319,637.75
20150320,640.53
20150323,645.45
20150324,646.09
20150325,646.27
20150326,642.66
20150327,643.4
20150330,645.93
20150331,645.05
20150401,649.07
20150402,652.68
20150403,656.06
20150407,658.82
20150408,655.98
20150409,652.44
20150410,656.76
20150413,659.99
20150414,659.17
20150415,653.53
20150416,657.1
20150417,659.96
20150420,656.77
20150421,662.91
20150422,669.41
20150423,670.24
20150424,669.16
20150427,671.75
20150428,667.75
20150429,671.01
20150430,672.27
20150504,673.98
20150505,667.06
20150506,665.65
20150507,664.2
20150508,669.79
20150511,677.43
20150512,682.38
20150513,682.27
20150514,683.95
20150515,682.84
20150518,685.76
20150519,690.24
20150520,693.81
20150521,700.42
20150522,702.91
20150525,708.46
20150526,715.77
20150527,716.76
20150528,704.61
20150529,707.23
20150601,719.38
20150602,724.39
20150603,723.96
20150604,723.6
20150605,724.71
20150608,723.26
20150609,722.36
20150610,723.47
20150611,725.01
20150612,726.92
20150615,723.28
20150616,715.78
20150617,718.04
20150618,711.21
20150619,700.3
20150623,701.56
20150624,704.99
20150625,697.51
20150626,682.65
20150629,674.54
20150630,685.19
20150701,676.26
20150702,668.02
20150703,663.76
20150706,663.97
20150707,655.31
20150708,647.64
20150709,656.23
20150710,663.81
20150713,669.41
20150714,670.21
20150715,662.7
20150716,664.76
20150717,673.12
20150720,676.89
20150721,679.47
20150722,680.75
20150723,686.32
20150724,683.06
20150727,670.87
20150728,668.94
20150729,674.54
20150730,670.49
20150731,668.5
20150803,665.14
20150804,671.93
20150805,670.83
20150806,670.61
20150807,675.74
20150810,683.33
20150811,681.72
20150812,678.82
20150813,681.95
20150814,682.21
20150817,682.71
20150818,673.23
20150819,675.52
20150820,671.71
20150821,666.19
20150824,656.43
20150825,650.45
20150826,649.41
20150827,653.53
20150828,658.55
20150831,656.07
20150901,651.83
20150902,650.46
20150907,650.93
20150908,655.07
20150909,658.16
20150910,656.26
20150911,656.89
20150914,651.96
20150915,648.26
20150916,653.58
20150917,652.48
20150918,653.73
20150921,657.63
20150922,658.04
20150923,657.06
20150924,658.06
20150925,655.08
20150928,657.35
20150929,655.98
20150930,656.59
20151008,660.51
20151009,662.16
20151012,666.65
20151013,668.15
20151014,667.23
20151015,670.52
20151016,672.17
20151019,671.77
20151020,674.05
20151021,669.12
20151022,672.03
20151023,674.53
20151026,676.0
20151027,677.04
20151028,675.33
20151029,675.64
20151030,676.16
20151102,674.43
20151103,674.47
20151104,679.11
20151105,679.63
20151106,683.13
20151109,683.55
20151110,683.99
20151111,685.73
20151112,685.71
20151113,682.96
20151116,684.84
20151117,683.73
20151118,681.49
20151119,684.9
20151120,686.54
20151123,685.88
20151124,686.84
20151125,688.98
20151126,688.43
20151127,682.56
20151130,683.64
20151201,683.75
20151202,684.04
20151203,686.23
20151204,685.47
20151207,687.87
20151208,686.3
20151209,685.88
20151210,685.77
20151211,685.0
20151214,687.01
20151215,687.95
20151216,688.76
20151217,691.29
20151218,691.06
20151221,692.89
20151222,693.78
20151223,692.98
20151224,693.32
20151225,694.13
20151228,691.68
20151229,692.71
20151230,693.55
20151231,692.35
20160104,684.65
20160105,682.79
20160106,684.56
20160107,678.17
20160108,679.24
20160111,674.43
20160112,675.53
20160113,673.69
20160114,676.89
20160115,674.44
20160118,675.0
20160119,675.83
20160120,673.19
20160121,669.93
20160122,671.33
20160125,672.5
20160126,666.35
20160127,665.11
20160128,662.43
20160129,665.43
20160201,664.57
20160202,667.09
20160203,667.42
20160204,669.67
20160205,669.1
20160215,669.81
20160216,673.36
20160217,674.66
20160218,674.8
20160219,675.04
20160222,676.75
20160223,676.13
20160224,675.71
20160225,668.98
20160226,668.98
20160229,664.89
20160301,666.57
20160302,670.53
20160303,670.47
20160304,668.47
20160307,670.05
20160308,670.6
20160309,669.2
20160310,667.97
20160311,668.11
20160314,670.73
20160315,670.42
20160316,669.92
20160317,672.95
20160318,676.38
