date,nav
20060831,1.3782
20060901,1.3731
20060904,1.3792
20060905,1.3803
20060906,1.3791
20060907,1.3746
20060908,1.378
20060911,1.3869
20060912,1.392
20060913,1.3931
20060914,1.3933
20060915,1.4046
20060918,1.4077
20060919,1.4098
20060920,1.4151
20060921,1.4238
20060922,1.4196
20060925,1.4145
20060926,1.4069
20060927,1.4132
20060928,1.4214
20060929,1.4281
20060930,1.4281
20061009,1.4384
20061010,1.435
20061011,1.4397
20061012,1.4382
20061013,1.4408
20061016,1.4379
20061017,1.434
20061018,1.448
20061019,1.4498
20061020,1.4589
20061023,1.4494
20061024,1.4605
20061025,1.4648
20061026,1.4706
20061027,1.4701
20061030,1.471
20061031,1.4789
20061101,1.4834
20061102,1.48
20061103,1.4851
20061106,1.4994
20061107,1.5046
20061108,1.4971
20061109,1.5133
20061110,1.5192
20061113,1.5158
20061114,1.514
20061115,1.5367
20061116,1.5382
20061117,1.5539
20061120,1.5829
20061121,1.5862
20061122,1.5813
20061123,1.5891
20061124,1.5789
20061127,1.5767
20061128,1.5776
20061129,1.5831
20061130,1.6161
20061201,1.6264
20061204,1.6463
20061205,1.6467
20061206,1.6423
20061207,1.6402
20061208,1.6193
20061211,1.6478
20061212,1.6611
20061213,1.6671
20061214,1.6655
20061215,1.68
20061218,1.7067
20061219,1.7058
20061220,1.7086
20061221,1.6977
20061222,1.6962
20061225,1.7086
20061226,1.7172
20061227,1.731
20061228,1.7362
20061229,1.7533
20061231,1.7534
20070104,1.7559
20070105,1.7434
20070108,1.7612
20070109,1.7906
20070110,1.8065
20070111,1.7895
20070112,1.783
20070115,1.8173
20070116,1.8525
20070117,1.8312
20070118,1.8169
20070119,1.836
20070122,1.8673
20070123,1.885
20070124,1.8903
20070125,1.8685
20070126,1.8976
20070129,1.8968
20070130,1.884
20070131,1.838
20070201,1.8315
20070202,1.8091
20070205,1.8009
20070206,1.804
20070207,1.8318
20070208,1.8296
20070209,1.8216
20070212,1.8539
20070213,1.8611
20070214,1.8844
20070215,1.9046
20070216,1.9067
20070226,1.9026
20070227,1.8348
20070228,1.8548
20070301,1.8295
20070302,1.8418
20070305,1.8397
20070306,1.8475
20070307,1.865
20070308,1.8713
20070309,1.8691
20070312,1.8754
20070313,1.8814
20070314,1.8634
20070315,1.8786
20070316,1.8641
20070319,1.8749
20070320,1.8745
20070321,1.8803
20070322,1.8882
20070323,1.8877
20070326,1.9071
20070327,1.9052
20070328,1.9099
20070329,1.9087
20070330,1.9122
20070331,1.9123
20070402,1.9414
20070403,1.9492
20070404,1.9552
20070405,1.9599
20070406,1.9609
20070409,1.9711
20070410,1.9901
20070411,2.0018
20070412,2.0081
20070413,1.9983
20070416,2.0323
20070417,2.0378
20070418,2.0536
20070419,2.0468
20070420,2.0734
20070423,2.0959
20070424,2.0939
20070425,2.0952
20070426,2.1021
20070427,2.0808
20070430,2.1019
20070508,2.1317
20070509,2.1399
20070510,2.149
20070511,2.1491
20070514,2.175
20070515,2.1468
20070516,2.1668
20070517,2.1937
20070518,2.1905
20070521,2.1892
20070522,2.2028
20070523,2.2227
20070524,2.221
20070525,2.2265
20070528,2.2485
20070529,2.2794
20070530,2.2246
20070531,2.2568
20070601,2.2261
20070604,2.1626
20070605,2.2048
20070606,2.2256
20070607,2.2321
20070608,2.2281
20070611,2.2333
20070612,2.2452
20070613,2.2601
20070614,2.2538
20070615,2.258
20070618,2.2701
20070619,2.272
20070620,2.2623
20070621,2.2653
20070622,2.2607
20070625,2.2564
20070626,2.2579
20070627,2.2658
20070628,2.2551
20070629,2.2482
20070630,2.2483
20070702,2.2362
20070703,2.2426
20070704,2.237
20070705,2.2238
20070706,2.2342
20070709,2.2442
20070710,2.2479
20070711,2.2507
20070712,2.2532
20070713,2.2509
20070716,2.2412
20070717,2.2557
20070718,2.2589
20070719,2.2604
20070720,2.2801
20070723,2.293
20070724,2.2949
20070725,2.2985
20070726,2.3004
20070727,2.3015
20070730,2.3113
20070731,2.3114
20070801,2.3062
20070802,2.3252
20070803,2.3481
20070806,2.3537
20070807,2.3512
20070808,2.349
20070809,2.3677
20070810,2.3596
20070813,2.3556
20070814,2.36
20070815,2.3645
20070816,2.3508
20070817,2.3378
20070820,2.3625
20070821,2.3692
20070822,2.3782
20070823,2.3866
20070824,2.3972
20070827,2.393
20070828,2.3898
20070829,2.3841
20070830,2.3875
20070831,2.3971
20070903,2.4043
20070904,2.3982
20070905,2.3915
20070906,2.3936
20070907,2.3869
20070910,2.3934
20070911,2.3736
20070912,2.3733
20070913,2.3831
20070914,2.3819
20070917,2.384
20070918,2.374
20070919,2.3742
20070920,2.3746
20070921,2.3697
20070924,2.3796
20070925,2.3776
20070926,2.3712
20070927,2.3767
20070928,2.3867
20070930,2.3871
20071008,2.4032
20071009,2.3997
20071010,2.4013
20071011,2.4124
20071012,2.4089
20071015,2.4055
20071016,2.4127
20071017,2.4041
20071018,2.3898
20071019,2.3924
20071022,2.3884
20071023,2.3959
20071024,2.4036
20071025,2.3947
20071026,2.4048
20071029,2.4129
20071030,2.4169
20071031,2.4272
20071101,2.4249
20071102,2.4131
20071105,2.4107
20071106,2.412
20071107,2.4142
20071108,2.3999
20071109,2.4002
20071112,2.4032
20071113,2.3957
20071114,2.4045
20071115,2.4037
20071116,2.3952
20071119,2.3878
20071120,2.3889
20071121,2.3851
20071122,2.3722
20071123,2.3765
20071126,2.3752
20071127,2.3701
20071128,2.3692
20071129,2.3847
20071130,2.3821
20071203,2.3891
20071204,2.3904
20071205,2.3972
20071206,2.3992
20071207,2.4005
20071210,2.3992
20071211,2.3949
20071212,2.3849
20071213,2.3771
20071214,2.3828
20071217,2.3711
20071218,2.3705
20071219,2.3776
20071220,2.3855
20071221,2.3878
20071224,2.3936
20071225,2.3955
20071226,2.3984
20071227,2.4064
20071228,2.4066
20071229,2.4066
20071231,2.4067
20080102,2.4063
20080103,2.4017
20080104,2.4058
20080107,2.4133
20080108,2.4145
20080109,2.4173
20080110,2.4192
20080111,2.4279
20080114,2.4265
20080115,2.4224
20080116,2.4098
20080117,2.4062
20080118,2.4084
20080121,2.3944
20080122,2.379
20080123,2.3902
20080124,2.3917
20080125,2.3985
20080128,2.3842
20080129,2.3841
20080130,2.3774
20080131,2.374
20080201,2.3765
20080204,2.3978
20080205,2.3947
20080213,2.3866
20080214,2.3893
20080215,2.3848
20080218,2.3906
20080219,2.3946
20080220,2.3844
20080221,2.3822
20080222,2.3733
20080225,2.3667
20080226,2.3668
20080227,2.3726
20080228,2.373
20080229,2.3767
20080303,2.3819
20080304,2.3744
20080305,2.3729
20080306,2.3765
20080307,2.3756
20080310,2.3646
20080311,2.3629
20080312,2.3515
20080313,2.349
20080314,2.3449
20080317,2.3382
20080318,2.331
20080319,2.3373
20080320,2.3468
20080321,2.3463
20080324,2.3311
20080325,2.3351
20080326,2.3383
20080327,2.3315
20080328,2.3438
20080331,2.3354
20080401,2.3287
20080402,2.3308
20080403,2.3353
20080407,2.3428
20080408,2.343
20080409,2.3335
20080410,2.3357
20080411,2.338
20080414,2.3273
20080415,2.3272
20080416,2.3228
20080417,2.3188
20080418,2.3149
20080421,2.3175
20080422,2.3197
20080423,2.3296
20080424,2.3488
20080425,2.35
20080428,2.346
20080429,2.3465
20080430,2.3573
20080505,2.3604
20080506,2.3564
20080507,2.348
20080508,2.3531
20080509,2.3497
20080512,2.3522
20080513,2.3506
20080514,2.3566
20080515,2.3542
20080516,2.3559
20080519,2.3539
20080520,2.3432
20080521,2.3461
20080522,2.3402
20080523,2.339
20080526,2.3338
20080527,2.3344
20080528,2.3426
20080529,2.3348
20080530,2.3375
20080602,2.3371
20080603,2.3363
20080604,2.3302
20080605,2.3268
20080606,2.3257
20080610,2.3041
